instruction,input,output
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 138 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 139 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 118 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 142 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 141 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Damodar S.Prabhu vs Sayed Babalal H on 3 May, 2010', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 20 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 147 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Bir Singh vs Mukesh Kumar on 6 February, 2019', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Bharat Barrel And Drum Manufacturing ... vs Amin Chand Payrelal on 18 February, 1999', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 87 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 143 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 80 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 27 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 145 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 2 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 146 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Section 3 in The Negotiable Instruments Act, 1881', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Dashrath Rupsingh Rathod vs State Of Maharashtra & Anr on 1 August, 2014', ... [truncated]"
What does Indian law state about negotiable instruments act?,,"According to  in 'Aneeta Hada vs M/S Godfather Travels & Tours Pvt.Ltd on 8 May, 2008', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 482 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 439 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 438 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 164 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 313 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 82 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 161 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Gian Singh vs State Of Punjab & Anr on 24 September, 2012', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 125 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 200 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 397 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 173 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 401 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 207 in The Code of Criminal Procedure, 1973', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Arnesh Kumar vs State Of Bihar & Anr on 2 July, 2014', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Siddharam Satlingappa Mhetre vs State Of Maharashtra And Ors on 2 December, 2010', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Section 13 in The Hindu Marriage Act, 1955', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Sanjay Chandra vs Cbi on 23 November, 2011', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Lalita Kumari vs Govt.Of U.P.& Ors on 12 November, 2013', ... [truncated]"
What does Indian law state about criminal procedure code?,,"According to  in 'Kulwinder Singh And Ors. vs State Of Punjab And Anr. on 8 August, 2007', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 148 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 147 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 260A in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 2 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 139 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 132 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 263 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 154 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 144 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 14A in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 153A in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 68 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 256 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 66 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 10 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 36 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 80HHC in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 12A in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 69 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about income tax?,,"According to  in 'Section 115JB in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about motor vehicles act?,,"According to  in 'Section 173 in The Motor Vehicles Act, 1988', ... [truncated]"
What does Indian law state about motor vehicles act?,,"According to  in 'Section 166 in The Motor Vehicles Act, 1988', ... [truncated]"
What does Indian law state about motor vehicles act?,,"According to  in 'Sarla Verma & Ors vs Delhi Transport Corp.& Anr on 15 April, 2009', ... [truncated]"
What does Indian law state about motor vehicles act?,,"According to  in 'Section 139 in The Income Tax Act, 1961', ... [truncated]"
What does Indian law state about motor vehicles act?,,"According to  in 'Section 181 in The Motor Vehicles Act, 1988', ... [truncated]"
What does Indian law state about motor vehicles act?,,"According to  in 'Section 133 in The Motor Vehicles Act, 1988', ... [truncated]"
What does Indian law state about motor vehicles act?,,"According to  in 'Section 32 in The Income Tax Act, 1961', ... [truncated]"
